CPT,ASA,ADDLCPT,ADDLCPT_COUNT,CLAIM_COUNT,ADDLCPT_FREQ
10030,01922,99140,1,5,0.2
10060,00400,99140,3,32,0.09375
10060,00400,99100,2,32,0.0625
10061,00300,99140,2,7,0.2857142857142857
10061,00300,36556,1,7,0.14285714285714285
10061,00300,76937,1,7,0.14285714285714285
10061,00400,99140,3,16,0.1875
10061,00400,99100,1,16,0.0625
10080,00300,99140,1,2,0.5
10120,00300,64450,1,3,0.3333333333333333
10120,00300,76942,1,3,0.3333333333333333
10140,00300,36556,1,10,0.1
10140,00300,76937,1,10,0.1
10140,00400,99140,7,35,0.2
10140,00400,99100,1,35,0.02857142857142857
11004,00904,36556,1,4,0.25
11004,00904,36620,1,4,0.25
11005,00700,36620,1,1,1.0
11012,01392,64447,1,2,0.5
11012,01392,76942,1,2,0.5
11012,01392,99140,1,2,0.5
11012,01480,99140,1,4,0.25
11012,01830,99140,1,3,0.3333333333333333
11042,00400,99140,6,73,0.0821917808219178
11042,00400,64447,3,73,0.0410958904109589
11042,00400,64450,3,73,0.0410958904109589
11042,00400,76942,3,73,0.0410958904109589
11042,00400,36556,2,73,0.0273972602739726
11042,00400,36620,2,73,0.0273972602739726
11042,00400,76937,1,73,0.0136986301369863
11042,00400,99100,1,73,0.0136986301369863
11043,00300,99140,2,21,0.09523809523809523
11043,00300,36556,1,21,0.047619047619047616
11043,00300,76937,1,21,0.047619047619047616
11043,00800,99140,1,7,0.14285714285714285
11043,01250,99140,5,15,0.3333333333333333
11043,01250,36556,3,15,0.2
11043,01250,36620,3,15,0.2
11043,01250,76937,2,15,0.13333333333333333
11043,01470,64450,2,40,0.05
11043,01470,76942,2,40,0.05
11043,01470,36556,1,40,0.025
11043,01470,64445,1,40,0.025
11043,01470,76937,1,40,0.025
11043,01470,99140,1,40,0.025
11043,01810,99140,1,8,0.125
11044,01480,76942,4,19,0.21052631578947367
11044,01480,64450,3,19,0.15789473684210525
11044,01480,36620,2,19,0.10526315789473684
11044,01480,64447,2,19,0.10526315789473684
11403,00400,99100,1,5,0.2
11440,00300,99100,1,12,0.08333333333333333
11441,00300,99100,1,14,0.07142857142857142
11442,00300,99100,1,12,0.08333333333333333
11443,00300,99100,1,7,0.14285714285714285
11606,00400,99100,1,8,0.125
11750,00400,64445,1,12,0.08333333333333333
11750,00400,64450,1,12,0.08333333333333333
11750,00400,76942,1,12,0.08333333333333333
12001,00400,99140,1,4,0.25
12002,00400,99140,1,1,1.0
12032,00400,64488,1,4,0.25
12037,00400,99140,1,1,1.0
12041,00920,99140,1,1,1.0
13121,00400,64447,1,3,0.3333333333333333
13121,00400,76942,1,3,0.3333333333333333
13121,00400,99140,1,3,0.3333333333333333
13132,00400,99140,1,2,0.5
13152,00300,99140,1,2,0.5
13160,00400,76942,11,29,0.3793103448275862
13160,00400,64450,10,29,0.3448275862068966
13160,00400,64447,9,29,0.3103448275862069
13160,00400,64445,1,29,0.034482758620689655
13160,00400,64488,1,29,0.034482758620689655
13160,00400,99140,1,29,0.034482758620689655
15100,00400,64447,1,22,0.045454545454545456
15100,00400,64450,1,22,0.045454545454545456
15100,00400,76942,1,22,0.045454545454545456
15120,00400,64450,1,2,0.5
15120,00400,76942,1,2,0.5
15738,01250,36620,1,2,0.5
15830,00802,99100,2,70,0.02857142857142857
15877,00300,36620,1,7,0.14285714285714285
15934,00300,99100,1,1,1.0
16020,00400,99140,1,1,1.0
19020,00400,99140,3,10,0.3
19120,00400,99100,1,69,0.014492753623188406
19301,00400,99100,5,277,0.018050541516245487
19303,00400,64461,2,29,0.06896551724137931
19316,00402,99100,1,53,0.018867924528301886
19316,00402,99140,1,53,0.018867924528301886
19318,00402,64461,5,84,0.05952380952380952
19318,00402,64450,2,84,0.023809523809523808
19318,00402,76942,2,84,0.023809523809523808
19318,00402,99100,1,84,0.011904761904761904
19324,00402,99100,2,12,0.16666666666666666
19325,00402,99100,2,103,0.019417475728155338
19364,00402,36620,2,6,0.3333333333333333
19371,00402,99100,3,80,0.0375
19380,00402,99100,1,48,0.020833333333333332
20520,00300,36620,1,2,0.5
20610,01610,64415,1,1,1.0
