CPT,ASA,ASA_COUNT,ASA_FREQ
00100,,9,1.0
00103,,1,1.0
00120,,8,1.0
00126,,1,1.0
00140,,7,1.0
00144,,1,1.0
00145,,3,1.0
00160,,8,1.0
00170,,29,1.0
00190,,3,1.0
00210,,2,1.0
00300,,77,1.0
00320,,5,1.0
00350,,1,1.0
00400,,165,1.0
00402,,2,1.0
0042T,01922,0,0.0
00470,,5,1.0
00520,,1,1.0
00529,,1,1.0
00530,,1,1.0
00537,,1,1.0
00540,,1,1.0
00541,,9,1.0
00560,,8,1.0
00562,,5,1.0
00563,,3,1.0
00567,,1,1.0
00600,,2,1.0
00620,,2,1.0
00630,,11,1.0
00670,,2,1.0
00700,,3,1.0
0071T,01922,0,0.0
0072T,01922,0,0.0
00731,,19,1.0
0075T,01924,0,0.0
00770,,2,1.0
00790,,45,1.0
00792,,26,1.0
00794,,7,1.0
00797,,22,1.0
00800,,9,1.0
00811,,3,1.0
00813,,1,1.0
00830,,1,1.0
00840,,70,1.0
00846,,2,1.0
00860,,12,1.0
00862,,7,1.0
00864,,2,1.0
00865,,10,1.0
00880,,1,1.0
00902,,8,1.0
00904,,1,1.0
00906,,1,1.0
00912,,1,1.0
00920,,1,1.0
00926,,2,1.0
00940,,24,1.0
00942,,3,1.0
00952,,6,1.0
0100T,00145,0,0.0
0102T,01730,0,0.0
01112,,1,1.0
01120,,1,1.0
01210,,9,1.0
01230,,1,1.0
01250,,3,1.0
01270,,3,1.0
01320,,8,1.0
01360,,1,1.0
01400,,8,1.0
01464,,9,1.0
01470,,10,1.0
01480,,10,1.0
01500,,1,1.0
01502,,1,1.0
01620,,1,1.0
01622,,1,1.0
01630,,2,1.0
01710,,1,1.0
01770,,1,1.0
01772,,1,1.0
01810,,2,1.0
01830,,3,1.0
01840,,1,1.0
01844,,1,1.0
0184T,00902,4,1.0
01916,,56,1.0
0191T,00140,336,1.0
01920,,1,1.0
01922,,7,1.0
01924,,27,1.0
01925,,2,1.0
01926,,14,1.0
01930,,2,1.0
01960,,4,1.0
01961,,1152,1.0
01962,,1,1.0
01965,,1,1.0
01967,,2125,1.0
01968,,296,1.0
01990,,5,1.0
01991,,3,1.0
01992,,1,1.0
01996,,524,1.0
01999,,1,1.0
0200T,00300,0,0.0
0200T,01936,0,0.0
0200T,01942,0,0.0
0201T,01936,6,1.0
0201T,00300,0,0.0
0201T,01942,0,0.0
0202T,00630,0,0.0
0219T,00600,0,0.0
0219T,00670,0,0.0
0220T,00620,0,0.0
0220T,00670,0,0.0
0221T,00630,0,0.0
0221T,00670,0,0.0
0222T,00670,0,0.0
0234T,01924,0,0.0
0235T,01924,0,0.0
0236T,01926,0,0.0
0237T,01924,0,0.0
0238T,01924,0,0.0
0253T,00140,0,0.0
0266T,00350,0,0.0
0267T,00350,0,0.0
0268T,00400,0,0.0
0269T,00350,0,0.0
0270T,00350,0,0.0
0271T,00400,0,0.0
0274T,01936,0,0.0
0274T,01941,0,0.0
0275T,01936,0,0.0
0275T,01942,0,0.0
0308T,00140,0,0.0
0312T,00790,0,0.0
0313T,00790,0,0.0
0314T,00790,0,0.0
0315T,00400,0,0.0
0316T,00400,0,0.0
0335T,01480,0,0.0
0338T,01924,0,0.0
0339T,01924,0,0.0
0345T,00560,0,0.0
0395T,00300,0,0.0
0395T,00400,0,0.0
0395T,00902,0,0.0
0395T,00940,0,0.0
0395T,00952,0,0.0
0398T,01922,0,0.0
0402T,00140,0,0.0
0404T,00940,0,0.0
0408T,00530,0,0.0
0409T,00400,0,0.0
0410T,00530,0,0.0
0411T,00530,0,0.0
0412T,00400,0,0.0
0413T,00400,0,0.0
0414T,00400,0,0.0
0415T,00530,1,1.0
0416T,00400,0,0.0
0419T,00300,0,0.0
0420T,00300,0,0.0
0420T,00400,0,0.0
0421T,00914,1,1.0
0424T,00300,0,0.0
0425T,00400,0,0.0
0426T,00300,0,0.0
0427T,00400,0,0.0
0428T,00400,0,0.0
0429T,00400,0,0.0
0430T,00300,0,0.0
0431T,00400,0,0.0
0432T,00300,0,0.0
0433T,00400,0,0.0
0440T,01610,0,0.0
0440T,01710,0,0.0
0440T,01810,0,0.0
0441T,01250,0,0.0
0441T,01320,0,0.0
0441T,01470,0,0.0
0442T,00940,0,0.0
0442T,01610,0,0.0
0449T,00140,30,1.0
0451T,01926,0,0.0
0452T,01926,0,0.0
0453T,01926,0,0.0
0454T,00400,0,0.0
0455T,01926,0,0.0
0456T,01926,0,0.0
0457T,01926,0,0.0
0458T,00400,0,0.0
0459T,00400,0,0.0
0460T,00400,0,0.0
0461T,01926,0,0.0
0467T,00400,0,0.0
0468T,00400,0,0.0
0474T,00140,0,0.0
0479T,00300,0,0.0
0479T,00400,0,0.0
0483T,00560,5,1.0
0484T,00560,1,1.0
0499T,00910,0,0.0
0505T,01270,0,0.0
0505T,01440,0,0.0
0505T,01924,0,0.0
0509T,00140,0,0.0
0510T,01480,0,0.0
0511T,01480,0,0.0
0515T,00530,0,0.0
0516T,00530,0,0.0
0517T,00530,0,0.0
0518T,00530,0,0.0
0519T,00530,0,0.0
0520T,00530,0,0.0
0524T,01930,0,0.0
0525T,00530,0,0.0
0526T,00530,0,0.0
0527T,00530,0,0.0
0530T,00530,0,0.0
0531T,00530,0,0.0
0532T,00400,0,0.0
0543T,00560,0,0.0
0544T,01926,0,0.0
0545T,01926,0,0.0
0548T,00910,0,0.0
0549T,00910,0,0.0
0550T,00910,0,0.0
0551T,00910,0,0.0
0553T,01924,0,0.0
0567T,00952,0,0.0
0568T,00952,0,0.0
0569T,01926,8,1.0
0571T,00534,0,0.0
0572T,00534,0,0.0
0573T,00530,0,0.0
0574T,00534,0,0.0
0575T,00534,0,0.0
0577T,00534,0,0.0
0580T,00400,0,0.0
0582T,00914,0,0.0
0584T,01931,0,0.0
0585T,01931,0,0.0
0586T,01931,0,0.0
0594T,01742,0,0.0
0596T,00910,0,0.0
0597T,00910,0,0.0
0600T,01922,0,0.0
0601T,01922,0,0.0
0613T,01926,0,0.0
0614T,00400,0,0.0
0616T,00140,0,0.0
0616T,00147,0,0.0
0617T,00140,0,0.0
0617T,00147,0,0.0
0618T,00140,0,0.0
0618T,00147,0,0.0
0619T,00910,0,0.0
0620T,01432,0,0.0
0621T,00140,0,0.0
0622T,00140,0,0.0
0627T,01936,0,0.0
0627T,01942,0,0.0
0629T,01936,0,0.0
0629T,01942,0,0.0
0632T,01926,0,0.0
0643T,01926,0,0.0
0644T,01926,0,0.0
0645T,01926,0,0.0
0646T,01926,0,0.0
0647T,00700,0,0.0
0652T,00731,0,0.0
0653T,00731,0,0.0
0654T,00731,0,0.0
0655T,00908,0,0.0
0656T,00625,0,0.0
0656T,00626,0,0.0
0656T,00670,0,0.0
0657T,00625,0,0.0
0657T,00626,0,0.0
0659T,01926,0,0.0
0660T,00140,0,0.0
0661T,00140,0,0.0
0664T,01990,0,0.0
0665T,00840,0,0.0
0666T,00840,0,0.0
0667T,00846,0,0.0
0671T,00140,0,0.0
0672T,00942,0,0.0
0673T,00320,0,0.0
0674T,00790,0,0.0
0675T,00790,0,0.0
0677T,00790,0,0.0
0679T,00790,0,0.0
0680T,00700,0,0.0
0681T,00700,0,0.0
0682T,00700,0,0.0
0686T,00700,0,0.0
0686T,00730,0,0.0
0707T,01200,0,0.0
0707T,01202,0,0.0
0707T,01220,0,0.0
0707T,01340,0,0.0
0707T,01390,0,0.0
0707T,01462,0,0.0
0707T,01464,0,0.0
0707T,01620,0,0.0
0707T,01630,0,0.0
0707T,01730,0,0.0
0707T,01740,0,0.0
0707T,01820,0,0.0
0707T,01830,0,0.0
10005,00300,7,0.7777777777777778
10005,00400,2,0.2222222222222222
10009,01922,3,1.0
10011,01922,0,0.0
10030,01922,3,1.0
10035,01922,0,0.0
10060,00400,184,0.8288288288288288
10060,00300,38,0.1711711711711712
10061,00400,60,0.6896551724137931
10061,00300,27,0.3103448275862069
10080,00300,17,1.0
10081,00300,5,1.0
10120,00400,27,0.9
10120,00300,3,0.1
10121,00400,29,0.8787878787878788
10121,00300,4,0.1212121212121212
10140,00400,197,0.7848605577689243
10140,00300,54,0.2151394422310757
10180,00400,55,0.8088235294117647
10180,00300,13,0.1911764705882353
11000,00400,14,0.9333333333333333
11000,00300,1,0.06666666666666667
11004,00904,44,1.0
11005,00800,21,0.75
11005,00700,7,0.25
11006,00904,8,1.0
11010,00400,17,1.0
11010,00300,0,0.0
11011,01810,2,0.5
11011,01470,1,0.25
11011,01710,1,0.25
11011,00300,0,0.0
11011,01250,0,0.0
11011,01320,0,0.0
11011,01610,0,0.0
11012,01480,20,0.4761904761904762
11012,01830,19,0.4523809523809524
11012,01392,2,0.04761904761904762
11012,01360,1,0.02380952380952381
11012,00300,0,0.0
11012,00450,0,0.0
11012,01210,0,0.0
11012,01230,0,0.0
11012,01630,0,0.0
11012,01740,0,0.0
11042,00400,982,0.8568935427574171
11042,00300,164,0.1431064572425829
11043,01470,290,0.4393939393939394
11043,00300,130,0.196969696969697
11043,01810,87,0.1318181818181818
11043,01250,62,0.09393939393939393
11043,01710,27,0.04090909090909091
11043,01320,25,0.03787878787878788
11043,00800,20,0.0303030303030303
11043,01610,12,0.01818181818181818
11043,00700,7,0.01060606060606061
11044,01480,191,0.6161290322580645
11044,01830,40,0.1290322580645161
11044,01120,26,0.08387096774193549
11044,01392,12,0.03870967741935484
11044,01210,10,0.03225806451612903
11044,01740,10,0.03225806451612903
11044,01630,8,0.02580645161290323
11044,01360,6,0.01935483870967742
11044,01230,5,0.01612903225806452
11044,00190,1,0.003225806451612903
11044,00450,1,0.003225806451612903
11106,00400,1,1.0
11200,00400,2,0.6666666666666666
11200,00300,1,0.3333333333333333
11400,00400,34,0.6415094339622641
11400,00300,19,0.3584905660377358
11401,00400,15,0.625
11401,00300,9,0.375
11402,00400,17,0.7391304347826086
11402,00300,6,0.2608695652173913
11403,00400,49,0.7
11403,00300,21,0.3
11404,00400,20,0.5405405405405406
11404,00300,17,0.4594594594594595
11406,00400,87,0.5761589403973509
11406,00300,64,0.423841059602649
11420,00300,22,0.7586206896551724
11420,00400,3,0.103448275862069
11420,00940,3,0.103448275862069
11420,00920,1,0.03448275862068965
11421,00300,10,0.7692307692307693
11421,00400,3,0.2307692307692308
11422,00300,18,0.6666666666666666
11422,00400,4,0.1481481481481481
11422,00940,3,0.1111111111111111
11422,00920,2,0.07407407407407407
11423,00300,39,0.65
11423,00940,10,0.1666666666666667
11423,00400,9,0.15
