CPT Code,Description
0001A,Adm sarscov2 30mcg/0.3ml 1st
0001F,"Heart failure assessed (includes assessment of all the following components) (CAD): Blood pressure measured (2000F) Level of activity assessed (1003F) Clinical symptoms of volume overload (excess) assessed (1004F) Weight, recorded (2001F) Clinical signs of volume overload (excess) assessed (2002F)"
0001U,"Human erythrocyte gene analysis of 35 antigens from 11 blood groups in whole blood, common red blood cell alleles reported"
0002A,Adm sarscov2 30mcg/0.3ml 2nd
0002U,"Measurement of ascorbic acid, succinic acid, and carnitine in urine by liquid chromatography with tandem mass spectrometry using multiple reaction monitoring acquisition, algorithm reported as likelihood of adenomatous polyps, for colorectal oncology"
0003A,Adm sarscov2 30mcg/0.3ml 3rd
0003U,"Measurement of apolipoprotein A-1, CA 125 II, follicle stimulating hormone, human epididymis protein 4, and transferrin in serum, algorithm reported as likelihood score for ovarian cancer"
0005F,"Osteoarthritis assessed (OA) Includes assessment of all the following components: Osteoarthritis symptoms and functional status assessed (1006F) Use of anti-inflammatory or over-the-counter (OTC) analgesic medications assessed (1007F) Initial examination of the involved joint(s) (includes visual inspection, palpation, range of motion) (2004F)"
0005U,"ERG, PCA3, and SPDEF gene expression profile using real-time RT-PCR in urine specimen, algorithm reported as risk score for prostate cancer"
0006U,"Prescription drug monitoring for a minimum of 120 drugs and substances in urine specimen using definitive tandem mass spectrometry with chromatography, qualitative report of presence or absence of each drug or substance, with quantitative level when detected and with description and severity of potential interactions"
0007U,"Presumptive drug test for any number of drug classes in urine specimen, with definitive confirmation of positive results and specimen verification including DNA authentication in comparison to buccal DNA"
0008U,"Next-generation sequencing of DNA, 16S and 23S rRNA, gyrA, pbp1, rdxA and rpoB for detection of Helicobacter pylori and for prediction of antibiotic resistance by next generation sequencing of DNA, 16S and 23S rRNA, gyrA, pbp1, rdxA and rpoB in formalin-fixed fresh tissue reported as positive or negative for resistance to clarithromycin, fluoroquinolones, metronidazole, amoxicillin, tetracycline and rifabutin"
0009U,"Gene analysis for detection of ERBB2 (HER2) copy number variations associated with breast cancer using FISH in tumor cells from formalin-fixed paraffin-embedded tissue isolated by image-based dielectrophoresis (DEP) sorting, reported as ERBB2 gene amplified or non-amplified"
00100,"Anesthesia for procedures on salivary glands, including biopsy"
00102,Anesthesia for procedures involving plastic repair of cleft lip
00103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
00104,Anesthesia for electroconvulsive therapy
0010U,Typing of bacterial strain by whole genome sequencing with phylogenetic-based report of strain relatedness
0011A,Adm sarscov2 100mcg/0.5ml1st
0011U,Prescription drug monitoring for presence of drug in oral fluid specimen using liquid chromatography with tandem mass spectrometry
00120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified"
00124,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy"
00126,"Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy"
0012A,Adm sarscov2 100mcg/0.5ml2nd
0012F,Community-acquired bacterial pneumonia assessment (includes all of the following components) (CAP): Co-morbid conditions assessed (1026F) Vital signs recorded (2010F) Mental status assessed (2014F) Hydration status assessed (2018F)
0012U,"Next-generation sequencing of whole genome for detection of gene rearrangement associated with germline disorder in whole blood specimen, with report of specific gene rearrangement"
0013A,Adm sarscov2 100mcg/0.5ml3rd
0013U,"Next-generation sequencing of whole genome for detection of gene rearrangement associated with solid organ cancer in cell specimen, with report of specific gene rearrangement"
00140,Anesthesia for procedures on eye; not otherwise specified
00142,Anesthesia for procedures on eye; lens surgery
00144,Anesthesia for procedures on eye; corneal transplant
00145,Anesthesia for procedures on eye; vitreoretinal surgery
00147,Anesthesia for procedures on eye; iridectomy
00148,Anesthesia for procedures on eye; ophthalmoscopy
